# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
6 3 3 ff0000
1 4 3 ff0000
2 4 3 ff0000
3 4 3 ff0000
4 4 3 ff0000
5 4 3 ff0000
6 4 3 ff0000
0 5 3 ff0000
1 5 3 ff0000
2 5 3 ff0000
3 5 3 ff0000
4 5 3 ff0000
5 5 3 ff0000
6 5 3 ff0000
0 6 3 ff0000
1 6 3 ff0000
2 6 3 ff0000
3 6 3 ff0000
4 6 3 ff0000
5 6 3 ff0000
0 7 3 ff0000
1 7 3 ff0000
2 7 3 ff0000
3 7 3 ff0000
4 7 3 ff0000
0 8 3 ff0000
1 8 3 ff0000
2 8 3 ff0000
3 8 3 ff0000
0 0 4 ff0000
1 0 4 ff0000
2 0 4 ff0000
3 0 4 ff0000
4 0 4 ff0000
5 0 4 ff0000
6 0 4 ff0000
1 1 4 ff0000
2 1 4 ff0000
3 1 4 ff0000
4 1 4 ff0000
5 1 4 ff0000
6 1 4 ff0000
7 1 4 ff0000
2 2 4 ff0000
3 2 4 ff0000
4 2 4 ff0000
5 2 4 ff0000
6 2 4 ff0000
7 2 4 ff0000
2 3 4 ff0000
3 3 4 ff0000
4 3 4 ff0000
5 3 4 ff0000
6 3 4 ff0000
7 3 4 ff0000
1 4 4 ff0000
2 4 4 ff0000
3 4 4 ff0000
4 4 4 ff0000
5 4 4 ff0000
6 4 4 ff0000
7 4 4 ff0000
0 5 4 ff0000
1 5 4 ff0000
2 5 4 ff0000
3 5 4 ff0000
4 5 4 ff0000
5 5 4 ff0000
6 5 4 ff0000
7 5 4 ff0000
0 6 4 ff0000
1 6 4 ff0000
2 6 4 ff0000
3 6 4 ff0000
4 6 4 ff0000
5 6 4 ff0000
6 6 4 ff0000
0 7 4 ff0000
1 7 4 ff0000
2 7 4 ff0000
3 7 4 ff0000
4 7 4 ff0000
5 7 4 ff0000
0 8 4 ff0000
1 8 4 ff0000
2 8 4 ff0000
3 8 4 ff0000
4 8 4 ff0000
0 9 4 ff0000
1 9 4 ff0000
2 9 4 ff0000
3 9 4 ff0000
0 0 5 ff0000
1 0 5 ff0000
2 0 5 ff0000
3 0 5 ff0000
4 0 5 ff0000
5 0 5 ff0000
6 0 5 ff0000
1 1 5 ff0000
2 1 5 ff0000
3 1 5 ff0000
4 1 5 ff0000
5 1 5 ff0000
6 1 5 ff0000
7 1 5 ff0000
2 2 5 ff0000
3 2 5 ff0000
4 2 5 ff0000
5 2 5 ff0000
6 2 5 ff0000
7 2 5 ff0000
2 3 5 ff0000
3 3 5 ff0000
4 3 5 ff0000
5 3 5 ff0000
6 3 5 ff0000
7 3 5 ff0000
1 4 5 ff0000
2 4 5 ff0000
3 4 5 ff0000
4 4 5 ff0000
5 4 5 ff0000
6 4 5 ff0000
7 4 5 ff0000
0 5 5 ff0000
1 5 5 ff0000
2 5 5 ff0000
3 5 5 ff0000
4 5 5 ff0000
5 5 5 ff0000
6 5 5 ff0000
7 5 5 ff0000
0 6 5 ff0000
1 6 5 ff0000
2 6 5 ff0000
3 6 5 ff0000
4 6 5 ff0000
5 6 5 ff0000
6 6 5 ff0000
0 7 5 ff0000
1 7 5 ff0000
2 7 5 ff0000
3 7 5 ff0000
4 7 5 ff0000
5 7 5 ff0000
0 8 5 ff0000
1 8 5 ff0000
2 8 5 ff0000
3 8 5 ff0000
4 8 5 ff0000
0 9 5 ff0000
1 9 5 ff0000
2 9 5 ff0000
3 9 5 ff0000
0 0 6 ff0000
1 0 6 ff0000
2 0 6 ff0000
3 0 6 ff0000
4 0 6 ff0000
5 0 6 ff0000
1 1 6 ff0000
2 1 6 ff0000
3 1 6 ff0000
4 1 6 ff0000
5 1 6 ff0000
6 1 6 ff0000
2 2 6 ff0000
3 2 6 ff0000
4 2 6 ff0000
5 2 6 ff0000
6 2 6 ff0000
2 3 6 ff0000
3 3 6 ff0000
4 3 6 ff0000
5 3 6 ff0000
6 3 6 ff0000
1 4 6 ff0000
2 4 6 ff0000
3 4 6 ff0000
4 4 6 ff0000
5 4 6 ff0000
6 4 6 ff0000
0 5 6 ff0000
1 5 6 ff0000
2 5 6 ff0000
3 5 6 ff0000
4 5 6 ff0000
5 5 6 ff0000
6 5 6 ff0000
0 6 6 ff0000
1 6 6 ff0000
2 6 6 ff0000
3 6 6 ff0000
4 6 6 ff0000
5 6 6 ff0000
0 7 6 ff0000
1 7 6 ff0000
2 7 6 ff0000
3 7 6 ff0000
4 7 6 ff0000
0 8 6 ff0000
1 8 6 ff0000
2 8 6 ff0000
3 8 6 ff0000
1 0 7 ff4700
2 0 7 ff4700
3 0 7 ff4700
4 0 7 ff4700
